price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
750000.0,800.0,Horto Florestal,Rua Artur Alvim 245,221.0,4.0,4.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/66/74/36/84/360x266/2714848195.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-4-quartos-2-suites-2-vagas-2966743684.html
280000.0,320.0,Nova Floresta,Rua São Gonçalo,66.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/71/16/89/50/360x266/3538141859.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-nova-floresta-belo-horizonte-2971168950.html
2889569.0,,Sion,Rua Estados Unidos,267.0,4.0,6.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/36/56/360x266/3605460916.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sion-4-quartos-267-m-sup2--2973413656.html
584999.0,475.0,Sagrada Família,Rua São Roque,78.0,3.0,3.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/67/84/59/62/360x266/2768166787.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sagrada-familia-belo-horizonte-2967845962.html
2972500.0,,Lourdes,Avenida do Contorno,205.0,4.0,5.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/37/81/360x266/3605465353.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-lourdes-4-quartos-205-m-sup2-2973413781.html
200000.0,334.0,Centro,Avenida Amazonas,55.0,1.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/42/26/360x266/3605492690.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-centro-1-quarto-55-m-sup2--2973414226.html
780000.0,760.0,Buritis,Rua Sílvio de Oliveira Martins 43,160.0,3.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/72/83/27/28/360x266/3589060386.jpg,https://www.imovelweb.com.br/propriedades/apartamento-garden-com-3-dormitorios-a-venda-160-2972832728.html
629000.0,1.0,Santo Antônio,Rua Renato Falci 60,66.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/60/79/29/85/360x266/2462171549.jpg,https://www.imovelweb.com.br/propriedades/apartamento-novo-a-venda-com-3-quartos-1-suite-1-2960792985.html
325000.0,380.0,Lagoinha,Rua Pitangui,84.0,3.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/99/10/360x266/3605440838.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-lagoinha-3-quartos-84-m-sup2-2973409910.html
3204110.0,1850.0,Sion,Rua La Plata 166,184.0,4.0,4.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/59/65/92/08/360x266/2415786999.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-4-dormitorios-a-venda-184-m-sup2--2959659208.html
240000.0,360.0,Castelo,Rua Castelo Setúbal,54.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/76/27/95/90/360x266/3686425998.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2976279590.html
1000000.0,1085.0,Centro,Rua Goiás 171,140.0,3.0,3.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/76/08/27/10/360x266/3681022247.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-no-centro-2976082710.html
650000.0,1000.0,Santo Antônio,Rua Leopoldina,160.0,3.0,4.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/75/74/46/85/360x266/3671568129.jpg,https://www.imovelweb.com.br/propriedades/localizacao-privilegiada-proximo-a-tudo!-2975744685.html
150000.0,,Frei Leopoldo,Rua José Luiz Azevedo,50.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/07/38/43/360x266/3624080995.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-2-quartos-1-vaga-frei-leopoldo-2974073843.html
480000.0,260.0,Minaslândia,Aristides Nonato dos Santos,123.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/56/38/25/28/360x266/3675850349.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-3-quartos-a-venda-123-m-sup2-2956382528.html
1700000.0,1150.0,Sion,Rua Assunção,340.0,4.0,4.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/67/30/32/360x266/3612877126.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sion-4-quartos-340-m-sup2--2973673032.html
2150000.0,950.0,Buritis,Rua Professora Bartira Mourão,260.0,4.0,3.0,5,https://imgbr.imovelwebcdn.com/avisos/2/29/73/53/18/81/360x266/3608610974.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-buritis-4-quartos-260-m-sup2-2973531881.html
191000.0,546.0,Barro Preto,Avenida Augusto de Lima,37.0,1.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/73/63/13/08/360x266/3611761799.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-barro-preto-1-quarto-37-2973631308.html
2200000.0,2200.0,Anchieta,Rua Engenheiro Amaro Lanari,300.0,4.0,4.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/49/76/360x266/3605612855.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-anchieta-4-quartos-300-m-sup2-2973414976.html
420000.0,230.0,Colégio Batista,Rua Ponte Nova 363,105.0,3.0,2.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/66/74/39/19/360x266/2714855049.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-3-quartos-colegio-batista-belo-2966743919.html
430000.0,390.0,Planalto,Rua Francisco Augusto Rocha,95.0,3.0,1.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/74/14/22/93/360x266/3626270702.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-3-quartos-1-suite-2-vagas-2974142293.html
690000.0,989.0,Buritis,Rua Fidélis Martins 90,90.0,3.0,1.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/76/99/82/95/360x266/3705196525.jpg,https://www.imovelweb.com.br/propriedades/apartamento-3-quartos-2976998295.html
150000.0,,Conjunto Califórnia,Rua Sucupira,45.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/77/44/91/63/360x266/3717948018.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-2-quartos-45-m-sup2-2977449163.html
430000.0,250.0,Inconfidência,Rua Efigênio Cândido da Rocha,56.0,2.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/97/34/360x266/3713513174.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-inconfidencia-2-quartos-56-2977309734.html
320000.0,,Ipiranga,Rua Conde de Monte Cristo,55.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/85/72/360x266/3605499370.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-ipiranga-2-quartos-55-m-sup2-2973408572.html
400000.0,300.0,Ipiranga,Rua Ozanam,67.0,3.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/92/25/360x266/3605446233.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-ipiranga-3-quartos-67-m-sup2-2973409225.html
